id,words
91,iur bpjs sehat resmi pandemi
258,cek terima kasih
263,senang hati informasi dm terima interaksi lanjut dm terima kasih
265,senang hati interaksi lanjut dm terima kasih
632,iur juta serta bpjs sehat gratis perintah
