,words,tf,idf,tfidf
385,mentok,2.0,5.298317366548036,10.596634733096073
386,bener,7.0,3.912023005428146,27.38416103799702
387,dicairin,1.0,5.991464547107982,5.991464547107982
388,umur,1.0,5.991464547107982,5.991464547107982
389,nikmatin,1.0,5.991464547107982,5.991464547107982
390,kessehatan,1.0,5.991464547107982,5.991464547107982
391,ujur,1.0,5.298317366548036,5.298317366548036
392,mah,3.0,2.1413169453979233,6.42395083619377
393,upah,5.0,4.382026634673881,21.910133173369406
394,islam,1.0,5.991464547107982,5.991464547107982
395,itung,1.0,4.045554398052669,4.045554398052669
396,pelihara,2.0,5.298317366548036,10.596634733096073
397,paham,5.0,4.605170185988092,23.02585092994046
398,bangun,3.0,4.892852258439873,14.678556775319617
399,zakat,2.0,5.298317366548036,10.596634733096073
400,pcr,2.0,5.991464547107982,11.982929094215963
401,awat,1.0,5.991464547107982,5.991464547107982
402,pasien,11.0,4.199705077879927,46.1967558566792
403,rugi,7.0,4.045554398052669,28.318880786368684
404,klaim,1.0,5.991464547107982,5.991464547107982
405,positif,2.0,5.298317366548036,10.596634733096073
406,ragu,2.0,5.298317366548036,10.596634733096073
407,persentase,2.0,5.298317366548036,10.596634733096073
408,gambar,2.0,5.298317366548036,10.596634733096073
409,pemda,3.0,4.892852258439873,14.678556775319617
410,gotong,3.0,4.892852258439873,14.678556775319617
411,ria,1.0,5.991464547107982,5.991464547107982
412,pusat,2.0,5.298317366548036,10.596634733096073
413,ambil,9.0,4.199705077879927,37.797345700919344
414,seringkali,2.0,5.298317366548036,10.596634733096073
415,skrg,1.0,5.991464547107982,5.991464547107982
416,lelucon,2.0,5.298317366548036,10.596634733096073
417,aman,1.0,4.892852258439873,4.892852258439873
418,kpr,2.0,5.298317366548036,10.596634733096073
419,lancar,1.0,5.991464547107982,5.991464547107982
420,tahun,2.0,5.298317366548036,10.596634733096073
421,warga,3.0,4.892852258439873,14.678556775319617
422,btn,1.0,5.991464547107982,5.991464547107982
423,serah,5.0,4.382026634673881,21.910133173369406
424,program,5.0,4.382026634673881,21.910133173369406
425,hitung,8.0,4.382026634673881,35.05621307739105
426,nggak,8.0,3.912023005428146,31.296184043425168
427,tuju,8.0,3.5935692743096115,28.748554194476892
428,suka,5.0,4.382026634673881,21.910133173369406
429,disinformasi,1.0,5.991464547107982,5.991464547107982
430,pribadi,1.0,5.991464547107982,5.991464547107982
431,deh,4.0,4.605170185988092,18.420680743952367
432,ribu,5.0,4.382026634673881,21.910133173369406
433,ratus,3.0,4.892852258439873,14.678556775319617
434,nombok,1.0,5.991464547107982,5.991464547107982
435,bantuin,1.0,5.991464547107982,5.991464547107982
436,karyawan,17.0,3.506557897319982,59.61148425443969
437,itu,2.0,2.8134107167600364,5.626821433520073
438,pecat,2.0,5.298317366548036,10.596634733096073
439,dapet,2.0,4.892852258439873,9.785704516879745
440,derita,4.0,4.892852258439873,19.57140903375949
441,objek,1.0,5.991464547107982,5.991464547107982
442,bunga,1.0,5.991464547107982,5.991464547107982
443,cape,2.0,5.991464547107982,11.982929094215963
444,minimal,1.0,5.991464547107982,5.991464547107982
445,celaka,1.0,5.991464547107982,5.991464547107982
446,lo,5.0,2.277892480403674,11.38946240201837
447,sumbangsih,2.0,5.991464547107982,11.982929094215963
448,pabrik,1.0,5.991464547107982,5.991464547107982
449,nalangin,1.0,5.991464547107982,5.991464547107982
450,ngerusak,1.0,5.991464547107982,5.991464547107982
451,rokok,2.0,4.892852258439873,9.785704516879745
452,dipake,2.0,5.298317366548036,10.596634733096073
453,apa,3.0,2.946942109384559,8.840826328153678
454,tetap,1.0,5.991464547107982,5.991464547107982
455,maksimal,1.0,5.991464547107982,5.991464547107982
456,sosial,3.0,4.605170185988092,13.815510557964275
457,juta,4.0,4.892852258439873,19.57140903375949
458,belas,4.0,4.605170185988092,18.420680743952367
459,tentu,1.0,5.991464547107982,5.991464547107982
460,kangkang,1.0,5.991464547107982,5.991464547107982
461,korban,4.0,4.605170185988092,18.420680743952367
462,air,2.0,4.605170185988092,9.210340371976184
463,gas,1.0,4.892852258439873,4.892852258439873
464,ma,10.0,0.7874578600311867,7.8745786003118665
465,bantu,12.0,3.4265151896464454,41.11818227575735
466,bmm,2.0,5.298317366548036,10.596634733096073
467,kntl,1.0,5.991464547107982,5.991464547107982
468,bulan,5.0,4.382026634673881,21.910133173369406
469,tagih,4.0,4.605170185988092,18.420680743952367
470,meres,2.0,5.298317366548036,10.596634733096073
471,hancur,1.0,5.991464547107982,5.991464547107982
472,emang,6.0,4.199705077879927,25.198230467279565
473,cicil,1.0,5.991464547107982,5.991464547107982
474,gabisa,1.0,5.991464547107982,5.991464547107982
475,nilai,9.0,3.7942399697717626,34.14815972794587
476,umk,2.0,5.991464547107982,11.982929094215963
477,gunungkidul,1.0,5.991464547107982,5.991464547107982
478,standar,1.0,5.991464547107982,5.991464547107982
479,tujuh,3.0,4.892852258439873,14.678556775319617
480,jogja,1.0,5.991464547107982,5.991464547107982
481,kabupaten,2.0,5.298317366548036,10.596634733096073
482,terima,2.0,5.298317366548036,10.596634733096073
483,keluarga,4.0,4.892852258439873,19.57140903375949
484,besar,2.0,5.298317366548036,10.596634733096073
485,wakanda,1.0,5.991464547107982,5.991464547107982
486,sunat,1.0,5.991464547107982,5.991464547107982
487,indah,1.0,4.605170185988092,4.605170185988092
488,jht,10.0,3.7942399697717626,37.942399697717626
489,keringat,1.0,5.991464547107982,5.991464547107982
490,negeri,1.0,5.991464547107982,5.991464547107982
491,embat,1.0,5.991464547107982,5.991464547107982
492,himpit,1.0,5.991464547107982,5.991464547107982
493,haji,2.0,5.298317366548036,10.596634733096073
494,pegawai,4.0,4.605170185988092,18.420680743952367
495,minyak,1.0,5.991464547107982,5.991464547107982
496,materi,1.0,5.991464547107982,5.991464547107982
497,temu,1.0,5.991464547107982,5.991464547107982
498,pariwisata,2.0,5.991464547107982,11.982929094215963
499,anggap,4.0,4.382026634673881,17.528106538695525
500,pb,1.0,4.892852258439873,4.892852258439873
501,relaksasi,1.0,5.991464547107982,5.991464547107982
502,daerah,2.0,5.298317366548036,10.596634733096073
503,mohon,1.0,5.991464547107982,5.991464547107982
504,pdam,1.0,5.991464547107982,5.991464547107982
505,contoh,2.0,5.298317366548036,10.596634733096073
506,sederhana,1.0,5.991464547107982,5.991464547107982
507,pokok,2.0,5.298317366548036,10.596634733096073
508,buka,2.0,5.298317366548036,10.596634733096073
509,bahan,1.0,5.991464547107982,5.991464547107982
510,sektor,2.0,5.298317366548036,10.596634733096073
511,sisa,4.0,4.605170185988092,18.420680743952367
512,akal,8.0,4.382026634673881,35.05621307739105
513,kenyang,1.0,5.991464547107982,5.991464547107982
514,perut,1.0,5.991464547107982,5.991464547107982
515,urusin,1.0,5.298317366548036,5.298317366548036
516,nabung,3.0,4.892852258439873,14.678556775319617
517,produktif,1.0,5.991464547107982,5.991464547107982
518,hakikat,1.0,5.991464547107982,5.991464547107982
519,normal,4.0,4.382026634673881,17.528106538695525
520,uji,1.0,5.991464547107982,5.991464547107982
521,stop,6.0,4.199705077879927,25.198230467279565
522,era,2.0,1.155182640156504,2.310365280313008
523,lewat,1.0,5.991464547107982,5.991464547107982
524,layak,1.0,5.298317366548036,5.298317366548036
525,lemah,1.0,5.991464547107982,5.991464547107982
526,new,4.0,4.605170185988092,18.420680743952367
527,mana,9.0,2.900422093749666,26.103798843746993
528,de,2.0,1.6094379124341003,3.2188758248682006
529,sampe,6.0,4.382026634673881,26.292159808043287
530,situasi,3.0,4.892852258439873,14.678556775319617
531,grid,1.0,5.991464547107982,5.991464547107982
532,daya,2.0,4.892852258439873,9.785704516879745
533,peak,1.0,5.991464547107982,5.991464547107982
534,kepake,1.0,5.991464547107982,5.991464547107982
535,energi,1.0,5.991464547107982,5.991464547107982
536,ebt,1.0,5.991464547107982,5.991464547107982
