id,words
57,bpjs manfaat
178,jkn kis serta bpjs sehat lancar jalan cuci darah
239,naik iur langsung bpjs sehat
315,sesuai besar iur bpjs sehat langsung layan sehat rakyat
431,alhamdulillah bpjs sehat
