id,words
91,iur bpjs sehat resmi pandemi
118,selamat siang bpjs sehat
187,mohon maaf ketidaknyamanannya masuk sesuai urut antri masuk sistem
258,cek terima kasih
263,senang hati informasi dm terima interaksi lanjut dm terima kasih
265,senang hati interaksi lanjut dm terima kasih
281,tanggung bpjs sehat
461,salam sehat terima dm interaksi dm
632,iur juta serta bpjs sehat gratis perintah
666,negara hadir sesuai iur bpjs sehat
